model,term,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2
(1) Unadjusted,Intercept,3.062354312354311,0.0667642221092877,0.0,2.931446514914647,3.1932621097939746,3030,0.0012006446922274705,0.0008707902155735692
(1) Unadjusted,PI_Compliant,0.1307879663829594,0.0685522518919253,0.0565040617858237,-0.003625706407404089,0.26520163917332285,3030,0.0012006446922274705,0.0008707902155735692
(2) + State FE,Intercept,3.49697057458504,0.24654866801786615,3.0926839556938394e-44,3.013547453874387,3.9803936952956933,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.AL],-0.39895115021424293,0.26029905051368163,0.12546479772572447,-0.9093354906732447,0.11143319024475878,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.AR],-0.22632039646965846,0.2702207093175581,0.4023568905447934,-0.7561587429071013,0.3035179499677844,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.AZ],-0.7215151953957771,0.25740306566390236,0.005094874872964661,-1.226221200437815,-0.21680919035373913,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.CA],-0.8155556140629658,0.2427002676518804,0.0007882792237272281,-1.2914329397400235,-0.33967828838590813,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.CO],-0.13975044563268238,0.260607759937643,0.5918270950618525,-0.6507400916255731,0.3712392003602084,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.CT],-0.7023031005121158,0.28199506797267093,0.01281120313917612,-1.2552281553515228,-0.14937804567270874,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.DC],-1.2545454545451333,0.41273199923162596,0.0023894349520748835,-2.063814442651129,-0.44527646643913765,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.DE],-0.9303030303027545,0.38912746062582854,0.016876205123001718,-1.6932891493610749,-0.16731691124443415,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.FL],-0.9521250790187913,0.2457023302942909,0.0001088727696754249,-1.4338887333579766,-0.470361424679606,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.GA],-0.5055785423153343,0.25147521802265266,0.044473560343403405,-0.9986614522951732,-0.012495632335495332,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.HI],-0.21868694182139334,0.3226905289759871,0.4980154530183587,-0.8514060872764357,0.414032203633649,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.IA],0.009090909091009809,0.26193943830650185,0.9723163854818018,-0.5045098404946611,0.5226916586766808,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.ID],0.14876021090376487,0.287519172136937,0.6049207742091742,-0.41499629435753904,0.7125167161650688,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.IL],-0.5056204106339818,0.24838096459037712,0.04187242344817993,-0.9926362278060352,-0.01860459346192833,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.IN],-0.16411855702916686,0.25156874335200685,0.5142060886721858,-0.6573848478682308,0.32914773380989704,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.KS],0.16290898559535164,0.26114504444599207,0.532789882589739,-0.3491341471424636,0.6749521183331668,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.KY],-0.2213716108452076,0.25834941787751425,0.39158627154434633,-0.7279331868139665,0.2851899651235512,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.LA],0.08813554859591807,0.2577151200783526,0.7323838660842072,-0.41718232070836836,0.5934534179002046,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MA],-0.5159833802502405,0.2606107131793328,0.047806648951302336,-1.0269788168455523,-0.004987943654928828,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MD],-0.8707576196382486,0.26643614405208876,0.0010947745657482692,-1.393175336445546,-0.3483399028309514,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.ME],-0.02929300242742473,0.2836719483311213,0.9177606775822078,-0.5855060196089432,0.5269200147540938,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MI],-0.48098011559447335,0.25075504522815767,0.05519045204426971,-0.9726509385305467,0.010690707341600048,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MN],0.23092690331501597,0.25521326608265765,0.3656239577025341,-0.26948542715231494,0.7313392337823469,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MO],-0.2951771480675696,0.2545256163384795,0.2462579381695431,-0.7942411614340253,0.2038868652988861,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MS],-0.39742886038679254,0.27201669600954215,0.1441084321677867,-0.9307887082720989,0.1359309874985139,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.MT],0.07474747474757085,0.297201007217316,0.8014412299740955,-0.5079927993833484,0.65748774887849,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NC],-0.2909090909089829,0.251918379273539,0.2482752193659939,-0.7848609343801437,0.20304275256217785,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.ND],-0.7239058214184882,0.34630006897948923,0.03666649705274708,-1.402917642468959,-0.04489400036801772,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NE],0.2556473829202109,0.2720099381198549,0.3473729654238715,-0.277699214355598,0.7889939801960197,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NH],0.015295773504718849,0.2895357738370481,0.9578720087152666,-0.5524148066049126,0.5830063536143504,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NJ],-0.9860298637937074,0.2577508206461549,0.00013317895237249103,-1.4914177333946366,-0.4806419941927782,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NM],-0.8466403162053878,0.28543062319237295,0.0030391679678628465,-1.406301675235908,-0.28697895717486765,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NV],-0.9812912107526494,0.28544388072852334,0.0005945715152954976,-1.5409785646488092,-0.4216038568564895,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.NY],-0.9653277159697502,0.2473590153745236,9.729891933772762e-05,-1.4503397345282987,-0.48031569741120184,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.OH],-0.19148629148619087,0.24756639659770646,0.4393030552084244,-0.6769049351500129,0.29393235217763125,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.OK],-0.09292943919843884,0.25963256985070277,0.7204235230112445,-0.6020069700746478,0.41614809167777006,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.OR],-0.04284709581477497,0.2645561969788712,0.8713496155327886,-0.5615786848964103,0.47588449326686033,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.PA],-0.27277389952467274,0.24728666454003387,0.2700870133498765,-0.7576440553569844,0.21209625630763895,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.PR],-1.56228965980238,0.3463000689794937,6.690233621574276e-06,-2.2413014808528597,-0.8832778387519007,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.RI],-0.3272727272726348,0.3369942662121681,0.33155140939291994,-0.988038089112179,0.3334926345669095,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.SC],-0.4001289677376895,0.26242289831183574,0.12742805116088093,-0.9146776670583814,0.11441973158300228,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.SD],0.20227272727282014,0.3037625265913131,0.5055323940540539,-0.39333312101788814,0.7978785755635285,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.TN],-0.47121217283646616,0.25523870963134726,0.0649678368830234,-0.9716743920329003,0.02925004635996792,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.TX],-0.3194687193052286,0.24370917410527748,0.19000605559164108,-0.7973242698501285,0.15838683123967134,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.UT],0.06280991735548329,0.27200993811987373,0.8174003017056558,-0.4705366799203626,0.5961565146313291,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.VA],-0.2597402597401576,0.2547437204720147,0.30799444925148917,-0.7592319232810034,0.23975140380068832,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.VI],-0.951516029130502,0.792850504824656,0.23018812684725234,-2.506106724674546,0.603074666413542,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.VT],0.03939393939404408,0.32264744562997427,0.9028312901287238,-0.5932407298975388,0.6720286086856271,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.WA],-0.5025974496124117,0.258715678138495,0.05215105929569435,-1.0098771745769817,0.0046822753521582605,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.WI],0.34751634683925975,0.2503033344960748,0.16512502636229567,-0.14326877911245117,0.8383014727909707,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.WV],-0.18549132958907566,0.2720369686712474,0.4953800714713522,-0.7188909273276887,0.34790826814953735,3030,0.198399181242645,0.1841233602096679
(2) + State FE,C(State)[T.WY],0.12066115702489186,0.32924623589049057,0.7140352596321491,-0.5249121657435076,0.7662344797932914,3030,0.198399181242645,0.1841233602096679
(2) + State FE,PI_Compliant,0.08484760723299849,0.06327462343986415,0.18004158401399945,-0.039218834378740394,0.20891404884473735,3030,0.198399181242645,0.1841233602096679
